url_path,views_total,views_unique
/CBICA/spare_score,13,9
/CBICA/spare_score/issues,4,4
/CBICA/spare_score/pulls,3,3
/CBICA/spare_score/tree/main/docs,2,2
/CBICA/spare_score/tree/main/spare_scores,2,2
/CBICA/spare_score/actions,1,1
/CBICA/spare_score/actions/runs/13267107669/workflow,1,1
/CBICA/spare_score/actions/runs/15784446762/usage,1,1
/CBICA/spare_score/actions/runs/16055702419,1,1
/CBICA/spare_score/commit/70fbc639740a426f9b99312ca60cb3a2348ae34b,1,1
