url_path,views_total,views_unique
/CBICA/spare_score,12,8
/CBICA/spare_score/issues,3,3
/CBICA/spare_score/pulls,3,3
/CBICA/spare_score/tree/main/docs,2,2
/CBICA/spare_score/tree/main/spare_scores,2,2
/CBICA/spare_score/actions/runs/13267107669/workflow,1,1
/CBICA/spare_score/actions/runs/15784446762/usage,1,1
/CBICA/spare_score/actions/runs/16055702419,1,1
/CBICA/spare_score/pull/34/commits/dc9bdf5ac65e312d7bf5f92c05e7581d1ec3863e,1,1
/CBICA/spare_score/tree/89a01660e6c729013c0d975abd1f0ea5dff94570,1,1
